title,date,link
"APTs, Teleworking, and Advanced VPN Exploits: The Perfect Storm","October 29, 2021",https://www.darkreading.com/threat-intelligence/apts-teleworking-and-advanced-vpn-exploits-the-perfect-storm
Russian National Accused of Role in Trickbot Is Extradited to US,"October 29, 2021",https://www.darkreading.com/attacks-breaches/russian-national-accused-of-role-in-trickbot-is-extradited-to-us
Cybercriminals Take Aim at Connected Car Infrastructure,"October 29, 2021",https://www.darkreading.com/attacks-breaches/cybercriminals-take-aim-at-connected-car-infrastructure
SEO Poisoning Used to Distribute Ransomware,"October 28, 2021",https://www.darkreading.com/attacks-breaches/seo-poisoning-used-to-distribute-ransomware
Top Hardware Weaknesses List Debuts,"October 28, 2021",https://www.darkreading.com/vulnerabilities-threats/top-hardware-weaknesses-list-debuts
ICS Security Firm Dragos Reaches $1.7B Valuation in Latest Funding Round,"October 28, 2021",https://www.darkreading.com/vulnerabilities-threats/ics-security-firm-dragos-reaches-1-7b-valuation-in-latest-funding-round
Ordr Unveils Cybersecurity Innovations and Ransom-Aware Rapid Assessment Service to Expand Its Leadership In Connected Device Security,"October 28, 2021",https://www.darkreading.com/attacks-breaches/ordr-unveils-cybersecurity-innovations-and-ransom-aware-rapid-assessment-service-to-expand-its-leadership-in-connected-device-security
US to Create Diplomatic Bureau to Lead Cybersecurity Policy,"October 28, 2021",https://www.darkreading.com/risk/us-to-create-diplomatic-bureau-to-lead-cybersecurity-policy
3 Security Lessons Learned From the Kaseya Ransomware Attack,"October 28, 2021",https://www.darkreading.com/attacks-breaches/3-security-lessons-learned-from-the-kaseya-ransomware-attack
You've Just Been Ransomed ... Now What?,"October 28, 2021",https://www.darkreading.com/attacks-breaches/you-ve-just-been-ransomed---now-what-
QR Codes Help Attackers Sneak Emails Past Security Controls,"October 27, 2021",https://www.darkreading.com/attacks-breaches/qr-codes-help-attackers-sneak-emails-past-security-controls
6 Eye-Opening Statistics About Software Supply Chain Security,"October 27, 2021",https://www.darkreading.com/application-security/6-eye-opening-statistics-about-software-supply-chain-security
Free Tool Helps Security Teams Measure Their API Attack Surface,"October 26, 2021",https://www.darkreading.com/dr-tech/free-tool-helps-security-teams-measure-their-api-attack-surface
North Korea's Lazarus Group Turns to Supply Chain Attacks,"October 26, 2021",https://www.darkreading.com/threat-intelligence/north-korea-s-lazarus-group-turns-to-supply-chain-attacks
Gas Stations in Iran Downed by Cyberattack,"October 26, 2021",https://www.darkreading.com/attacks-breaches/gas-stations-in-iran-downed-by-cyberattack-reports
